Wind;PV_rt
0,08459;0,011107137
0,08459;0,185706474
0,077246;0,199807105
0,042973;0,220784684
0,038689;0,353353737
0,038689;0,131952632
0,038689;0,340264421
0,038689;0,245537842
0,038689;0,314066526
0,038689;0,427574684
0,038689;0,285499263
0,038689;0,321473211
0,038689;0,113797105
0,038689;0,399084474
0,038689;0,495429158
0,038689;0,481357421
0,038689;0,534600789
0,041749;0,286154211
0,07541;0,134919158
0,08459;0,398391
0,063169;0,237235421
0,038689;0,243775263
0,038689;0,273488684
0,038689;0,244940684
0,038689;0,093241389
0,038689;0,179051053
0,052153;0,131615526
